publication_number,filing_date,publication_date,grant_date,priority_date
US-738676-A,19030116,19030908,19030908,19030116
US-739210-A,19021104,19030915,19030915,19021104
US-739232-A,19030127,19030915,19030915,19030127
US-740624-A,19030131,19031006,19031006,19030131
US-742226-A,19021201,19031027,19031027,19021201
US-74242-A,0,18680211,18680211,0
US-743697-A,19021020,19031110,19031110,19021020
US-744622-A,19030624,19031117,19031117,19030624
US-745237-A,19030331,19031124,19031124,19030331
US-745318-A,19030110,19031201,19031201,19030110
US-745774-A,19020821,19031201,19031201,19020821
US-746415-A,19030728,19031208,19031208,19030728
US-747979-A,19030509,19031229,19031229,19030509
US-74846-A,0,18680225,18680225,0
US-748710-A,0,19040105,19040105,0
US-749564-A,0,19040112,19040112,0
US-749797-A,0,19040119,19040119,0
US-751176-A,0,19040202,19040202,0
US-751467-A,0,19040209,19040209,0
US-751603-A,0,19040209,19040209,0
US-752416-A,0,19040216,19040216,0
US-75266-A,0,18680310,18680310,0
US-75649-A,0,18680317,18680317,0
US-756772-A,19031102,19040405,19040405,19031102
US-757654-A,19031208,19040419,19040419,19031208
US-757979-A,19040104,19040419,19040419,19040104
US-75800-A,0,18680324,18680324,0
US-758048-A,19020714,19040426,19040426,19020714
US-758099-A,19030203,19040426,19040426,19030203
US-759564-A,19030224,19040510,19040510,19030224
US-759670-A,19020910,19040510,19040510,19020910
US-760532-A,0,19040524,19040524,0
US-760629-A,19040108,19040524,19040524,19040108
US-76073-A,0,18680331,18680331,0
US-761967-A,19020113,19040607,19040607,19020113
US-762920-A,19030819,19040621,19040621,19030819
US-764103-A,19030606,19040705,19040705,19030606
US-766345-A,19031014,19040802,19040802,19031014
US-767516-A,19030126,19040816,19040816,19030126
US-767557-A,19030501,19040816,19040816,19030501
US-769114-A,19030302,19040830,19040830,19030302
US-769117-A,19031109,19040830,19040830,19031109
US-770326-A,19040215,19040920,19040920,19040215
US-772141-A,19040611,19041011,19041011,19040611
US-775000-A,19030226,19041115,19041115,19030226
US-775406-A,19031212,19041122,19041122,19031212
US-775886-A,19040715,19041122,19041122,19040715
US-775923-A,19010306,19041129,19041129,19010306
US-777696-A,19040524,19041220,19041220,19040524
US-778743-A,19031214,19041227,19041227,19031214
US-778912-A,19040512,19050103,19050103,19040512
US-780413-A,19040405,19050117,19050117,19040405
US-783058-A,19041214,19050221,19050221,19041214
US-78471-A,0,18680602,18680602,0
US-785136-A,19040907,19050321,19050321,19040907
US-785728-A,19040611,19050328,19050328,19040611
US-78623-A,0,18680602,18680602,0
US-786936-A,19040602,19050411,19050411,19040602
US-787504-A,19030629,19050418,19050418,19030629
US-788048-A,19041125,19050425,19050425,19041125
US-788851-A,19041215,19050502,19050502,19041215
US-789310-A,19041130,19050509,19050509,19041130
US-789366-A,19031118,19050509,19050509,19031118
US-790448-A,19040718,19050523,19050523,19040718
US-791580-A,19030205,19050606,19050606,19030205
US-791714-A,19050906,19050606,19050606,19050906
US-792247-A,19041201,19050613,19050613,19041201
US-794340-A,19050118,19050711,19050711,19050118
US-794922-A,19050318,19050718,19050718,19050318
US-795203-A,19041118,19050718,19050718,19041118
US-79569-A,0,18680707,18680707,0
US-796238-A,19050215,19050801,19050801,19050215
US-79634-A,0,18680707,18680707,0
US-797453-A,19040610,19050815,19050815,19040610
US-798117-A,19041231,19050829,19050829,19041231
US-801111-A,19020621,19051003,19051003,19020621
US-801640-A,19050619,19051010,19051010,19050619
US-802351-A,19050602,19051017,19051017,19050602
US-802942-A,19030829,19051024,19051024,19030829
US-80316-A,0,18680728,18680728,0
US-803321-A,19050216,19051031,19051031,19050216
US-804144-A,19050119,19051107,19051107,19050119
US-806968-A,19050327,19051212,19051212,19050327
US-807705-A,19050114,19051219,19051219,19050114
US-807972-A,19050424,19051219,19051219,19050424
US-810411-A,19050506,19060123,19060123,19050506
US-81162-A,0,18680818,18680818,0
US-812248-A,19051026,19060213,19060213,19051026
US-812754-A,19040525,19060213,19060213,19040525
US-812822-A,19050114,19060220,19060220,19050114
US-813655-A,19050825,19060227,19060227,19050825
US-81517-A,0,18680825,18680825,0
US-819565-A,19041205,19060501,19060501,19041205
US-820916-A,19041006,19060515,19060515,19041006
US-821555-A,19050429,19060522,19060522,19050429
US-823669-A,19060409,19060619,19060619,19060409
US-82681-A,0,18681006,18681006,0
US-826845-A,19050410,19060724,19060724,19050410
US-8268-A,0,18510805,18510805,0
US-826924-A,19040708,19060724,19060724,19040708
